code,name,instructor,is_lab,semester,group,course_id,tab_id,content_id,content_items,due_date,due_time,task_name
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_347055_1,,,"
  Review Submission History: Quiz - Array  "
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_348163_1,,,"
  Review Submission History: Quiz - Ordered array  "
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_349526_1,,,"
  Review Submission History: Selection sort  "
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_350685_1,,,"
  Review Submission History: Stack - Compare 2 stacks  "
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_351844_1,,,"
  Review Submission History: Quiz - Implement a stack using queues  "
IT013IU1_2024-2501,Algorithms & Data Structures_S1_2024-25-Group01,Trần Tùng,False,Semester 1,Group01,_28524_1,_38367_1,_338537_1,_359032_1,,,"
  Review Submission History: Find strongly connected components  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_349920_1,,,"
  Review Submission History: Lab 1  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_350980_1,,,"
  Review Submission History: Lab 02  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_352235_1,,,"
  Review Submission History: Lab 03  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_353249_1,,,"
  Review Submission History: Lab 04  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_355544_1,,,"
  Review Submission History: Lab 05  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_356631_1,,,"
  Review Submission History: Lab 6  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_357639_1,,,"
  Review Submission History: Lab 07  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_358442_1,,,"
  Review Submission History: Lab 08  "
Final exam - DocumentIT013IU1_2024-250102,Algorithms & Data Structures_S1_2024-25-Group01_Lab02,Tin Thai,True,Semester 1,Group01,_28522_1,_38365_1,_338533_1,_359341_1,No due date,No due time,"
  Upload Assignment: Lab 09  "
IT160IU_3_2023-2401,Data Mining _S3_2023-24_G01,marcin jodlowiec,False,Semester 3,G01,_27557_1,_37274_1,,,,,
IT160IU_3_2023-240101,Data Mining _S3_2023-24_G01_Lab01,Phú Nguyễn,True,Semester 3,G01,_27558_1,_37275_1,_333775_1,,,,
IT157IU1_2024-2501,Deep Learning_S1_2024-25-Group01,Bao An Mai Hoang,False,Semester 1,Group01,_28644_1,_38487_1,_338777_1,_358145_1,No due date,No due time,"
  Upload Assignment: Project  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_347303_1,,,"
  Review Submission History: lab 1  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_348240_1,,,"
  Review Submission History: lab 2  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_348244_1,,,"
  Review Submission History: lab 3  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_348245_1,,,"
  Review Submission History: lab 4  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_354957_1,,,"
  Review Submission History: lab 5  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_355762_1,,,"
  Review Submission History: lab 6  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_357138_1,No due date,No due time,"
  Upload Assignment: lab 7  "
IT157IU1_2024-250101,Deep Learning_S1_2024-25-Group01_Lab01,Bao An Mai Hoang,True,Semester 1,Group01,_28645_1,_38488_1,_338779_1,_358086_1,No due date,No due time,"
  Upload Assignment: lab 8  "
IT120IU1_2024-2503,Entrepreneurship_s1_2024-25_G03,Wojtkiewi Krystian,False,,G03,_28937_1,_38881_1,_342997_1,,,,
PE018IU1_2024-2502,History of Vietnamese Communist Party_S1_2024-25-Group02,,False,Semester 1,Group02,_28788_1,_38631_1,,,,,
Instructor,No Instructors.IT154IU1_2024-2501: Linear Algebra_S1_2024-25-Group01,Khanh Tran,False,Semester 1,Group01,_28643_1,_38486_1,,,,,
Học bù ngày 03/01/2025 phòng L108EN008IU_3_2023-2405,Listening AE1_S3_2023-24_G05,NGUYEN ANH,False,Semester 3,G05,_27420_1,_37137_1,,,,,
IT090IU1_2024-2502,Object-Oriented Analysis and Design_S1_2024-25-Group02,Hanh Le,False,Semester 1,Group02,_28562_1,_38405_1,_338613_1,_348386_1,"Wednesday, October 2, 2024",11:30 PM,"
  Upload Assignment: Assignment 1  "
IT090IU1_2024-2502,Object-Oriented Analysis and Design_S1_2024-25-Group02,Hanh Le,False,Semester 1,Group02,_28562_1,_38405_1,_338613_1,_349377_1,"Wednesday, October 2, 2024",11:30 PM,"
  Upload Assignment: Assignment 1 - Submission  "
IT090IU1_2024-2502,Object-Oriented Analysis and Design_S1_2024-25-Group02,Hanh Le,False,Semester 1,Group02,_28562_1,_38405_1,_338613_1,_352153_1,,,"
  Review Submission History: Assignment 2  "
