0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
IT013IU,Algorithms & Data Structures,1,4,"ITIT23UN01, ITIT23UN01",0,,,Ba,1,3,A2.608,182,'02/09/2024--29/12/2024',
IT157IU,Deep Learning,1,4,"ITIT23WE31, ITIT23WE31",0,,,Ba,4,3,A2.501,654,'02/09/2024--29/12/2024',
IT090IU,Object-Oriented Analysis and Design,2,4,"ITIT23SB21, ITIT23SB21",0,,,Tư,4,3,L108,880,'02/09/2024--29/12/2024',
IT120IU,Entrepreneurship,3,3,ITIT22IU41,0,,,Tư,7,3,ONLINE3,IT019,'02/09/2024--29/12/2024',
IT139IU,Scalable and Distributed Computing,1,4,"ITIT23IU21, ITIT23IU21",0,,,Năm,1,3,A1.109,654,'02/09/2024--29/12/2024',
IT154IU,Linear Algebra,1,3,ITIT23SB31,0,,,Sáu,1,3,L207,719,'02/09/2024--29/12/2024',
PE018IU,History of Vietnamese Communist Party,2,2,MAST23IU11,0,,,Sáu,5,2,L207,GE097,'02/09/2024--29/12/2024',
IT157IU,Deep Learning,1,4,"ITIT23WE31, ITIT23WE31",0,,1.0,Hai,7,4,ONLINE3,654,'30/09/2024--08/12/2024',
IT139IU,Scalable and Distributed Computing,1,4,"ITIT23IU21, ITIT23IU21",0,,1.0,Ba,7,4,ONLINE2,654,'30/09/2024--08/12/2024',
IT013IU,Algorithms & Data Structures,1,4,"ITIT23UN01, ITIT23UN01",0,,2.0,Năm,4,3,LA1.604,585,'30/09/2024--22/12/2024',
IT090IU,Object-Oriented Analysis and Design,2,4,"ITIT23SB21, ITIT23SB21",0,,1.0,Sáu,7,3,LA1.604,585,'30/09/2024--22/12/2024',
